probe,gene,log2FC,pval,adj_pval,neglog10_pval,sig
1774002_at,SPAPB8E5.08,0.27947750988056536,0.09901219741753826,0.2015275335658251,0.6956656102731795,not significant
1772656_at,SPAPB21F2.02,-0.4554527167580317,0.06873200204857018,0.15347431924535654,0.8139642843111827,not significant
1777432_at,gar1,-0.4337535453445203,0.3544186445115675,0.5090139239351308,0.29327033749529485,not significant
1769909_at,hst4,0.2958749324351215,0.248440860198412,0.3966922443378501,0.40154629025990785,not significant
1774931_at,SPAC1002.02,-0.2947599109153032,0.09876203194793917,0.20131906083325485,0.6961151042826788,not significant
1772474_at,grn1,0.1946953653963735,0.41774854705208303,0.5696476319172902,0.24439370368657784,not significant
1779062_at,SPBC17A3.04c,0.9360259006846372,0.15371347238108488,0.2791724823301472,0.5541273917836137,not significant
1775356_at,taf11,-0.017065421602556266,0.9644594208572066,0.9806181139796135,0.008500088727273524,not significant
1771621_at,vht1,-0.022190281535617463,0.7952247953151282,0.8714272380977951,0.059768869497013065,not significant
1775427_at,SPBC14F5.11c,-0.05635636308155735,0.8299410466927237,0.8939966247666915,0.048664120855053374,not significant
1774879_at,SPBC1604.04,0.21248730351215708,0.5440965357487411,0.6791418552441167,0.16803950331117978,not significant
1778799_at,fta5,0.4923011795039715,0.3835826592972878,0.5377401468628634,0.26942753854587714,not significant
1780182_at,mor4,0.11448308695476485,0.7104698923416309,0.8107572364560125,0.0911091663196343,not significant
1771411_at,mcp4,0.15359314083092612,0.47563259253356766,0.6221874308607198,0.20607876655256196,not significant
1769447_at,SPCC1840.04,-0.05888393370913037,0.7242547236039476,0.8204991072163181,0.08592188716571737,not significant
1777435_at,SPAC25B8.11,-0.038261807078083465,0.8603315341477379,0.9126980880658654,0.039672859235731876,not significant
1772577_at,srx1,-0.06899149233768244,0.7240662111665572,0.8203831576597342,0.08598326421118277,not significant
1773638_at,SPBC14C8.17c,0.12290963410296352,0.8022814976952349,0.8763826676143069,0.05730622015046879,not significant
1773813_at,smg1,-0.25560125751801066,0.2371347123636776,0.3835713642259131,0.4161538228331825,not significant
1778618_at,SPAC2F3.18c,0.0651101096347947,0.7087623371986144,0.809675394198877,0.09168905860701666,not significant
1776446_at,rho3,-0.6544349385684504,0.2284059512861528,0.37393561582847606,0.42720316811368075,not significant
1774250_at,SPCC613.08,-0.36824976069365223,0.32139279552282085,0.47504037334453036,0.3232694784264457,not significant
1770644_at,SPBC342.03,-0.5590355098347911,0.13086482034855687,0.24832275686213395,0.604983478887732,not significant
1773174_at,aip3,0.2357999484875977,0.7119893058138589,0.8114955291962714,0.09071386850655716,not significant
1770907_at,SPBC11C11.05,-0.08638212473944082,0.7623199142031029,0.8485273786568698,0.07133414013738368,not significant
1771581_at,SPBC1539.05,-0.43625473405911336,0.33722290250516274,0.4913188921427124,0.3086365360980601,not significant
1770252_at,rad25,0.04527049041228472,0.9054050348436828,0.9431194567507164,0.02543329546843356,not significant
1774380_at,SPBC365.08c,0.0456063476563086,0.8197684617396814,0.8870610703922407,0.052046479805979526,not significant
1775752_at,SPAPJ735.02c,-0.333109509364256,0.045963480154073984,0.11317911471917992,0.9462337074149932,not significant
1779687_at,swd2,-0.3001807951658968,0.03899641985228945,0.10020926427474403,0.9990921263987818,not significant
1770045_at,SPAC11D3.18c,-0.03707679053090102,0.9064352990352111,0.9436529434940256,0.025187701082028415,not significant
1773223_at,cbh,-0.025163973970902077,0.9001729592338732,0.9392462629467432,0.027220524222881466,not significant
1770163_at,SPBC337.12,-0.07479882102937674,0.7538299960969853,0.8430059555206565,0.07416935723691626,not significant
1779245_at,SPCC338.14,0.08752662488474004,0.4120920135264822,0.5641871114780003,0.248576839268775,not significant
1774543_at,SPBC32F12.12c,-0.12859236736305113,0.5707008865503684,0.7013301438755412,0.15407749428606327,not significant
1775339_at,SPBC1685.12c,-0.808465269878708,0.04900227464366679,0.11894643654064653,0.9246485642523159,not significant
1774310_at,emp24,-0.24808662509654014,0.3756661620620351,0.5297700475484467,0.2759125997423634,not significant
1778826_at,SPCC417.12,0.2694129326267881,0.24228537703270145,0.3900551856531175,0.40887394392448495,not significant
1777713_at,rad3,-0.0893172381046634,0.7410559691352079,0.833497285993161,0.07909580996928482,not significant
1776181_at,hsp16,0.07146630026743304,0.8111211568126312,0.8818013945034888,0.054629218704648236,not significant
1771026_at,SPAC6F12.04,0.36351443868728456,0.6103075579616442,0.7350056197272259,0.13370934036180004,not significant
1775521_at,gtr2,0.5666688758735815,0.022464632688462424,0.06636753339267838,1.1780443229916053,not significant
1774544_at,klp4,-0.23776473817227053,0.576101295935031,0.7065808038134702,0.15083816552999912,not significant
1770853_at,cwf11,-0.7937510997755102,0.005295742723619602,0.023544294745205453,1.6281143140491585,not significant
1771912_at,dcr1,0.30142974176896636,0.6228337403962307,0.7458171285393391,0.1273676467930318,not significant
1777530_at,exg2,-0.10349922754280082,0.015447399177489291,0.05035357294831429,1.2979697076985823,not significant
1772659_at,SPBC1685.08,-0.2642735225196938,0.12390555715201225,0.23821955111843596,0.623022598040443,not significant
1769433_at,SPCP25A2.03,0.1065627625941073,0.07015643599232552,0.15601740588606702,0.8068269474238393,not significant
1777953_at,SPAC13G6.10c,-0.16225654544465984,0.44475780858391517,0.5932275518375473,0.226778686819071,not significant
1770299_at,dcc1,0.08950955845392339,0.7560862234038983,0.8439744892091726,0.07367068058184363,not significant
1772639_at,msw1,0.28228825366590715,0.2567211894325009,0.4051775213920234,0.3923546566143227,not significant
1770081_at,SPAC732.02c,-1.1942418733398363,0.07684602783720165,0.16685344569937208,0.7776648202781613,not significant
1776561_at,ynd1,-0.7895312501422371,0.08419206534489232,0.17899822764377105,0.747151269178436,not significant
1769869_at,SPBC13G1.02,-0.3280108672826318,0.16950635024378913,0.3002963980501866,0.5224498769795393,not significant
1780167_at,SPAC9E9.15,-0.12334346965417928,0.2059147105259207,0.34844161607730895,0.4578699806638583,not significant
1771759_at,mis3,-0.3682273702505879,0.04871331923653027,0.1184555301773037,0.9264446591335084,not significant
1771297_at,mam2,-0.01717949842222711,0.9260063158413072,0.9552912758285005,0.019864188418635978,not significant
1776691_at,pub3,-0.3824051055112887,0.11292800863533158,0.22287832370722477,0.6519321672851514,not significant
1775794_at,SPBC2D10.07c,0.3284827381149509,0.2909499727142203,0.44363728820948223,0.3529719580525562,not significant
1779527_at,cwc16,0.3587638083195839,0.2713461747763393,0.42165331721306165,0.37504447866034285,not significant
1775082_at,SPAC22G7.11c,0.05113057468214602,0.6723787619563506,0.7834262832561041,0.10600186234953379,not significant
1777349_at,par1,-0.21856626762641132,0.21431141716115737,0.35854181976992155,0.44546018159709966,not significant
1778902_at,SPAC22E12.03c,-0.8149970857756685,0.026074714341090745,0.07393052713735368,1.131176197197211,not significant
1778699_at,SPBP4H10.14c,0.12055183758373292,0.5129411250512101,0.6530840748642228,0.1850309061686797,not significant
1779005_at,mes1,-0.14550691968124813,0.2869013018992478,0.43941940114295447,0.35712077212347887,not significant
1769763_at,oxa1,0.6637441841935101,0.08812208217319371,0.18540420888757583,0.7318804110982029,not significant
1779606_at,SPAC23A1.16c,0.279275549843222,0.27384758731982395,0.42406212756568457,0.37257051208092434,not significant
1775496_at,klp3,0.36328825794186,0.2999894341331556,0.4529894343245992,0.34391192749718336,not significant
1777243_at,B22918-2,-0.8494893786172542,0.02223092274717264,0.06589083910526244,1.1811749617730767,not significant
1772784_at,SPBC18H10.21c,0.3261549810663123,0.25287908150729616,0.4014199212483945,0.3964010786009789,not significant
1778923_at,SPAP4C9.01c,-0.4667952376715192,0.30420858641967274,0.4572124099015519,0.33988199026577326,not significant
1777469_at,spd1,-0.3085500145072194,0.17456907326693363,0.306850704947893,0.513072874646211,not significant
1771720_at,SPCC338.02,0.04669880846100094,0.8525826784530578,0.9087119389578675,0.04157376600552066,not significant
1780125_at,pof11,0.21742327986095716,0.6816598226370064,0.7898865681641023,0.10243527118732103,not significant
1771298_at,mde4,-0.3874096118505204,0.08253250353635054,0.17629304117381522,0.7537648302954547,not significant
1778962_at,SPAP8A3.15c,0.03532762317420571,0.9285847670264633,0.9571377413757018,0.019025558550398447,not significant
1779370_at,swr1,0.06655836465163012,0.5965303984876142,0.7244814619551732,0.13997272278573536,not significant
1772526_at,mvp1,1.0616794143639188,0.1309807010166409,0.24845387603728936,0.6047542235975558,not significant
1770004_at,rsp1,-0.05656153958346054,0.714075686492682,0.812809569386688,0.09001119198514444,not significant
1776974_at,SPBC354.07c,-0.35133107832297455,0.07985492432638557,0.17184505014473822,0.764862972841776,not significant
1775200_at,SPAC2E1P5.05,-0.18942884511519978,0.13441346249423222,0.2533408620450103,0.5962947560072146,not significant
1777849_at,erv14,-0.2888327392066643,0.22741178328326228,0.3726988553868462,0.4286419410265197,not significant
1774260_at,SPAC2C4.09,-0.2553100912371021,0.22753105661594736,0.3728364022246405,0.42848169150719734,not significant
1776286_at,SPBC1711.08,0.07009207994296342,0.7559893561825256,0.8439626216176624,0.07367678747939731,not significant
1771765_at,cid14,-0.04265245033087238,0.9091239970270777,0.9453713045496152,0.024397584246870094,not significant
1777624_at,SPAC24H6.11c,-0.26165976562313153,0.33861931362403086,0.4927339359898015,0.30738752559688776,not significant
1772922_at,SPCC13B11.02c,0.08612890974844056,0.8353712763886385,0.8969284052245079,0.047242221902240526,not significant
1770218_at,SPAC3G6.07,1.0128976794054962,0.012956072178177248,0.04450926022103771,1.3515496239738494,upregulated
1774586_s_at,SPAC750.02c /// SPBC1348.05 /// SPBPB2B2.16c,-0.1685198805990468,0.13100212607310224,0.24845387603728936,0.6047542235975558,not significant
1776640_at,SPBC19G7.02,-0.0015426100656873284,0.9956048697098848,0.9974507982604803,0.0011085177675106068,not significant
1776240_at,SPBC14C8.09c,0.03069205587006722,0.8601131972828981,0.9126339146092881,0.03970339634136177,not significant
1773016_at,SPAC8C9.12c,-0.43462019917847555,0.046844338223890114,0.11495956166868879,0.9394549007996539,not significant
1770728_at,SPAC24C9.02c,0.052023005166133174,0.9024827913691094,0.9408826506469784,0.026464539542491214,not significant
1776584_at,SPBC4F6.17c,0.31401610657722023,0.4148577537983817,0.566837401038849,0.2465415018809935,not significant
1779225_at,SPAC27D7.02c,-0.24013765803132675,0.33783534762756434,0.49192067673204837,0.308104922506927,not significant
1772018_at,SPCC1322.04,-0.22609273285437395,0.48083545482942375,0.6268376984635868,0.20284489263997713,not significant
1776038_at,SPBP8B7.05c,-0.15848056118894144,0.7357756062996874,0.8293829582975325,0.08124489252321912,not significant
1779424_at,mra1,0.6671030227440307,0.0665454271203032,0.14984719298798133,0.8243513880620027,not significant
1777814_at,SPCC1450.09c,-0.12102071605816936,0.6828952276218687,0.7904610224263259,0.10211954023210194,not significant
1774747_at,ilv1,-0.8842651368206967,0.014154227341607128,0.04740343131752457,1.3241902205974168,not significant
1772768_at,SPAC19B12.07c,0.7932137054742182,0.002231834757564003,0.013031079271316984,1.885019613284616,not significant
1775825_at,SPBC215.01,0.14602878047665288,0.6597246089727454,0.7738804773351398,0.11132610913893719,not significant
1775776_at,SPAC694.04c,-0.023982656771461896,0.9530977286523004,0.9729619948817582,0.011904123488578616,not significant
1772765_at,SPAC22H10.06c,-0.06262364864792691,0.6774843053780528,0.7866858384994135,0.10419866769907382,not significant
1777259_at,mns2,-0.5477082823435149,0.21208789422991106,0.35598101723081926,0.44857316026227123,not significant
1780202_at,SPAC22G7.05,-0.11798417293235995,0.8374962162348356,0.8984154953385967,0.046522766227883296,not significant
1777288_at,SPAC6F6.13c,-0.21780707257560317,0.4855332172905755,0.6310545906935549,0.1999330695807933,not significant
1773384_at,SPCC757.12,-0.6841287392918447,0.06866709395283073,0.15336072260403438,0.814285853819317,not significant
1773406_at,SPAC1142.01,0.2621615823558559,0.04545784565002069,0.11221218370531422,0.9499599859611579,not significant
1769728_at,cft2,0.23857630789392742,0.08243976543822092,0.17623273801034392,0.75391341138052,not significant
1770978_at,thi4,-0.7207301971024728,0.003720194640750522,0.018354074097409856,1.73626751933369,not significant
1775886_at,cox13,-0.14859632332391057,0.7556541975780628,0.843923257141857,0.07369704450606426,not significant
1779867_at,SPAC6F12.08c,-0.44117695986915406,0.007486551180555706,0.03013185585031734,1.5209741188832033,not significant
1773098_at,SPAC2G11.05c,-0.28983192581834977,0.3881725748435018,0.5416177091279096,0.2663071440814161,not significant
1770738_at,psm3,0.03940574412230389,0.8313665905892968,0.8946085629683443,0.048366949185826985,not significant
1775447_at,SPBC16G5.10,0.2968168332155313,0.43904320947681974,0.5886712773676096,0.23012715390257119,not significant
1778589_at,rga4,-0.21268359239449314,0.4362279141802473,0.5867920539342372,0.23151577580332716,not significant
1777754_at,sbh1,-0.6170898834585286,0.030332103995383473,0.08292950524432088,1.0812909256016687,not significant
1775099_at,nth1,-0.1052849282949828,0.5988866073150787,0.726293734850647,0.13888770213012044,not significant
1772267_at,cia1,-0.10918084976663067,0.6325104485833031,0.7531133342905139,0.1231396629051982,not significant
1772913_at,SPCPB1C11.03,0.01285845988846664,0.9536272020235137,0.9732198415869403,0.011789045442124398,not significant
1778535_at,SPAC29B12.05c,-0.016362377170504656,0.9331748428217255,0.9599674933969515,0.017743472874338223,not significant
1770354_at,SPAC57A7.09,0.3415993070128289,0.21385612398221907,0.35816394220347736,0.44591813844872746,not significant
1770233_at,SPAC1782.05,0.19397796948095855,0.2304193663578484,0.376048810567289,0.4247557806462004,not significant
1769367_at,met16,-0.016041155857643836,0.9102693245489042,0.9463821880573138,0.023933442197979618,not significant
1773119_at,arb1,-0.2622713357222875,0.4966242181343891,0.6404424658688463,0.19351987899968487,not significant
1778551_at,SPAC323.05c,-0.5497590861252134,0.08594148976987491,0.18176284114673757,0.7404948974308554,not significant
1780100_at,snf30,-0.2960769253383841,0.32743497171162766,0.4813302893280424,0.3175568080211134,not significant
1775514_at,SPAC644.13c,-0.3629590579361874,0.1335472549537417,0.2521866946836857,0.5982778304429008,not significant
1771028_at,SPAC30D11.02c,-0.10107026083640776,0.7397743097173756,0.8327414149764607,0.07948983590795808,not significant
1775105_at,vps55,0.1152085741393066,0.5327620716672032,0.6698911424668275,0.17399576456329835,not significant
1770973_at,SPCC1259.07,-0.4558451033588917,0.031918642480974826,0.08624498231876561,1.0642661625116352,not significant
1775503_at,zwf1,0.3021507110263236,0.04954112899288086,0.11988163366567804,0.9212473474151234,not significant
1770931_at,SPCC16C4.06c,0.5009281405720506,0.24854376534703532,0.39671698983064835,0.40151920000051855,not significant
1779622_at,SPBC21C3.10c,-0.6854331560845246,0.26891478093605997,0.41879731025641487,0.37799611625906915,not significant
1770336_at,SPCC553.08c,-0.3708879510299358,0.019812005898733893,0.0604257885742015,1.2187776732134095,not significant
1773692_at,eca39,-0.39355767078053006,0.017914165235439233,0.0560291922418088,1.251585638597109,not significant
1772211_at,arx1,0.05622938997779223,0.7345012437924919,0.8285125508014402,0.0817009082434095,not significant
1775135_at,SPCC622.05,0.03871338476524253,0.879929684837672,0.9260902001855505,0.033346711444346665,not significant
1778178_at,SPCC338.06c,0.34889229531975513,0.3136235370515441,0.4669952327155299,0.3306875528726604,not significant
1771284_at,SPBC776.08c,-1.1233672041684617,0.031689793241188736,0.08571932191576992,1.0669212731108921,not significant
1779177_at,SPBC18E5.08,0.041645409787569934,0.8547100687470688,0.9092943566265546,0.04129550427568918,not significant
1770301_at,rpc2,0.5460436252678449,0.12677617321179555,0.24220454910113667,0.6158177041699783,not significant
1769535_at,orc2,-0.14931142202832556,0.5437241722811053,0.6789872877028817,0.16813835669471572,not significant
1771647_at,SPBP19A11.01,-0.4982622215974238,0.1144409680811501,0.22519007699791543,0.6474507505879962,not significant
1773037_at,SPBP4H10.10,-0.11125337488780587,0.547223900253534,0.6815506959900182,0.16650183437097887,not significant
1777806_at,SPBC32H8.05,0.37357042373135874,0.29525355043870843,0.44779349539243046,0.34892221923329836,not significant
1772501_at,trf1,-0.21525874808555123,0.29447649656327674,0.4468257642937362,0.34986179310342425,not significant
1776656_at,SPAC1D4.10,-0.273790546191749,0.02885251280357974,0.07994428496894508,1.0972125775108095,not significant
1771163_at,rip1,0.040235230757893065,0.8418957350617057,0.9019152602874652,0.044834264806582286,not significant
1776039_at,SPAPJ696.03c,-0.411553823295339,0.035180510846976765,0.09261686883540401,1.0333099055974955,not significant
1778935_at,rev1,-0.9779671814799946,0.06340200795770122,0.1443038349501268,0.8407221271494199,not significant
1772445_at,pex6,-0.6263542699360123,0.07581361710148453,0.16500521961462317,0.7825023175195818,not significant
1775434_at,cwf1,0.38947993167973555,0.10910343153441493,0.21709437359943307,0.663351431941172,not significant
1779432_at,lsd1,-0.08879600014261196,0.6847076467081491,0.791881168719087,0.10133998462460649,not significant
1779180_at,ibp1,1.224896760795826,0.04014007833275659,0.10246455875271292,0.9894263258254365,not significant
1770433_at,qcr7,-0.4639260323233043,0.2592974300788453,0.4079473532826982,0.3893958801799566,not significant
1776148_at,SPBC14C8.04,0.17543225281165967,0.3149640415661694,0.4681620030243607,0.3296038374281469,not significant
1772782_at,mob1,0.11938343066679101,0.7402448722897097,0.8330136921410717,0.0793478600908807,not significant
1777450_at,snu66,-0.8188844575615654,0.0025071018966320176,0.014086174563699068,1.851206933891899,not significant
1774555_at,gaa1,-0.12175211888932877,0.539769505694423,0.67582506395837,0.17016570581805257,not significant
1776970_at,SPCC1281.08,-0.5569920260100963,0.12487557708085598,0.23966285675089463,0.6203992682528355,not significant
1776437_at,SPBC211.03c,0.23423523031867022,0.3185039809982339,0.4722034329600733,0.32587085988711634,not significant
1770652_at,SPBP23A10.02,0.07083462014492885,0.6049558370922805,0.7312266885464123,0.1359479659655352,not significant
1778650_at,SPBC776.16,0.022865425738603,0.7982018835636537,0.8732564565491646,0.05885819465875738,not significant
1772859_at,SPBC16H5.14c,-0.9145987114077863,0.01547702240690799,0.050412750112742315,1.2974596103140668,not significant
1777751_at,SPCC645.13,0.03442853572235854,0.9179174941984043,0.9512567450545436,0.021702250768458383,not significant
1776826_at,hem14,-0.1872773682416505,0.437289852593683,0.5875709646626602,0.23093967339632512,not significant
1779166_at,vps3,0.3130993267967198,0.1328022413842073,0.251213933502963,0.599956276257962,not significant
1776755_at,SPBP19A11.02c,-0.028434876666142982,0.8836876137371446,0.9288196828815539,0.03206858991432229,not significant
1779291_at,SPAC13G6.13,-0.22541409306224075,0.31444198829360276,0.4676404529222225,0.3300879275337189,not significant
1774420_at,pex11,-0.5094112869854933,0.09741689414743493,0.1993953585396458,0.7002849552725112,not significant
1776331_at,SPBC16E9.19,-0.32655842836859816,0.30939933912210454,0.46215363284942024,0.33521362875686905,not significant
1779474_at,SPBC8E4.03,-0.33812998921986526,0.02651167655223453,0.0749210244020737,1.1253962931077144,not significant
1777698_at,SPAC12B10.16c,0.023754436313807328,0.8882799336959563,0.9316751238534802,0.03073550021504297,not significant
1776130_at,tif225,-0.0896872016288056,0.6689758201393943,0.7808767103699317,0.10741752980095964,not significant
1779076_at,rps25,-0.5693929393301379,0.05858737415419882,0.135702167180391,0.8674132165482986,not significant
